Date,File_count,Word Count_mean,Positive_mean,Negative_mean,sentiment_score_economic_mean,sentiment_score_economic_median,sentiment_score_economic_std
2007-02,3,2746.6666666666665,228.66666666666666,147.33333333333334,27.791666666666625,34.45000000000004,24.03932108719651
2007-03,13,2400.846153846154,182.07692307692307,107.84615384615384,34.34230769230769,43.57499999999999,25.317155713022665
2007-04,5,2064.4,192.2,119.2,30.934999999999974,22.875000000000004,24.993396627909497
2007-05,12,2121.4166666666665,191.33333333333334,101.75,36.12708333333334,39.13749999999999,23.885299916126943
2007-06,8,2043.5,176.875,93.0,33.94999999999999,24.749999999999986,29.348168597035134
2007-07,2,2771.5,287.0,111.5,68.6,68.6,15.379572490807384
2007-08,6,1503.1666666666667,125.0,66.5,23.22499999999999,13.887499999999996,32.06868020358803
2007-09,10,2421.2,176.4,115.6,25.0375,20.337500000000006,37.91616895277733
2007-10,12,2262.1666666666665,167.16666666666666,119.08333333333333,17.095833333333328,20.787499999999994,21.233889169024692
2007-11,11,2015.090909090909,187.8181818181818,110.27272727272727,29.2409090909091,34.37500000000003,31.012913182913167
2007-12,2,24653.5,1652.0,1493.5,115.41249999999813,115.41249999999813,162.97043539396688
2008-01,7,3427.5714285714284,231.57142857142858,169.14285714285714,23.482142857142776,10.900000000000006,48.44851587485598
2008-02,7,2095.0,184.71428571428572,136.0,16.58928571428572,14.224999999999987,25.964093223233558
2008-03,12,2153.3333333333335,163.5,122.83333333333333,17.099999999999998,16.512500000000003,12.710312563212018
2008-04,10,2409.4,210.3,127.8,36.5825,30.82500000000001,25.367759092771443
2008-05,10,2301.8,211.3,154.3,19.29000000000001,15.100000000000001,22.224677225502692
2008-06,10,1840.0,169.2,86.0,35.33,34.787499999999994,22.333276741221816
2008-07,5,2279.4,202.8,108.8,38.72499999999998,33.150000000000006,32.53958646787016
2008-08,3,1944.0,157.0,115.0,12.241666666666669,14.774999999999991,10.653354323091552
2008-09,5,1305.2,98.0,65.8,14.984999999999996,9.849999999999993,17.592439782474738
2008-10,9,1754.7777777777778,147.55555555555554,100.0,20.727777777777774,14.250000000000004,17.811782636626923
2008-11,3,2335.6666666666665,190.0,156.0,13.825000000000001,7.200000000000007,11.71380062148916
2008-12,9,1958.7777777777778,152.55555555555554,111.55555555555556,14.108333333333341,16.65,12.596707159015802
2009-01,3,7327.666666666667,506.6666666666667,312.3333333333333,83.15833333333335,31.700000000000014,109.65174512215178
2009-02,4,2472.5,205.0,136.25,22.26875000000001,30.12500000000001,24.088027584604486
2009-03,6,2232.8333333333335,170.33333333333334,115.16666666666667,20.437500000000004,23.25,8.302766858102187
2009-04,9,2386.0,198.77777777777777,155.11111111111111,21.33611111111111,20.924999999999997,20.612530742514632
2009-05,4,2037.25,204.5,107.5,33.14375000000003,44.10000000000001,28.3037201250413
2009-06,10,2137.1,169.3,124.6,14.939999999999989,14.349999999999994,19.982687645948825
2009-07,2,1237.5,118.0,89.5,12.062500000000009,12.062500000000009,35.93870215380629
2009-08,5,2844.6,225.6,175.0,14.759999999999986,16.14999999999999,21.778405302041737
2009-09,7,1583.4285714285713,133.0,79.0,24.52857142857142,19.700000000000006,18.066609558862453
2009-10,8,2288.5,186.5,148.125,5.775000000000008,0.2749999999999986,22.0126019102046
2009-11,7,2781.8571428571427,264.0,156.57142857142858,46.14642857142858,30.825000000000014,44.756297109483725
2009-12,5,2355.6,200.4,118.8,39.809999999999995,35.57500000000004,22.24377440993322
2010-01,6,2838.3333333333335,206.16666666666666,135.83333333333334,29.429166666666664,18.337499999999988,34.49273625224109
2010-02,4,1576.5,164.5,106.25,15.568750000000001,18.89999999999999,19.05876192857238
2010-03,8,2066.625,185.875,121.0,24.484375000000004,26.262500000000006,15.038954997296662
2010-04,11,1458.5454545454545,137.9090909090909,82.18181818181819,24.765909090909087,18.474999999999994,21.70440702002496
