File,Word Count,Positive,Negative,sentiment_score_economic,Year,Month
20060613,1831,185,40,71.40000000000002,2006,06
20060615,2215,146,107,21.275000000000006,2006,06
20060825,2447,196,82,61.47499999999999,2006,08
20060831,2510,204,68,65.24999999999996,2006,08
20060901,423,34,7,13.800000000000002,2006,09
20061004,2220,150,114,24.199999999999996,2006,10
20061016,2118,256,106,44.874999999999936,2006,10
20061101,2288,189,91,47.925000000000026,2006,11
20061110,2187,140,66,22.924999999999986,2006,11
20061128,2435,182,119,33.275,2006,11
20061201,117,5,0,2.55,2006,12
20061215,3429,289,92,102.92500000000003,2006,12
20070105,3258,301,152,42.775000000000055,2007,01
20070206,3988,228,153,47.79999999999985,2007,02
20070302,3693,216,89,59.47499999999996,2007,03
20070306,3390,286,152,57.77500000000009,2007,03
20070330,3184,287,122,58.79999999999998,2007,03
20070411,2445,262,191,13.249999999999961,2007,04
20070425,406,51,4,22.875000000000004,2007,04
20070501,3355,240,131,49.07499999999999,2007,05
20070515,2174,256,178,26.074999999999992,2007,05
20070517,2403,231,145,22.325000000000006,2007,05
20070522,587,104,14,53.75,2007,05
20070605,1233,105,79,7.899999999999999,2007,06
20070615,3179,259,107,65.85000000000002,2007,06
20070710,3380,285,92,79.47499999999997,2007,07
20070831,3993,262,195,25.074999999999992,2007,08
20070911,3976,231,160,27.550000000000022,2007,09
20070924,3945,315,82,116.05000000000001,2007,09
20071012,867,88,29,21.325000000000006,2007,10
20071015,2785,219,195,11.700000000000001,2007,10
20071019,1987,127,81,23.949999999999967,2007,10
20071106,1696,160,41,57.80000000000001,2007,11
20071114,2361,211,64,59.799999999999976,2007,11
20071129,1796,129,62,34.37500000000003,2007,11
20080110,2322,173,155,10.900000000000006,2008,01
20080304,2062,195,159,5.924999999999997,2008,03
20080314,2137,198,130,17.275000000000006,2008,03
20080409,438,66,4,29.600000000000005,2008,04
20080410,2076,246,129,38.14999999999998,2008,04
20080505,1975,144,159,-18.52499999999997,2008,05
20080513,2563,212,184,5.899999999999992,2008,05
20080515,1929,244,158,38.325000000000024,2008,05
20080603,1550,159,107,34.47499999999999,2008,06
20080604,2367,170,105,35.1,2008,06
20080609,2218,178,87,44.72499999999999,2008,06
20080612,497,40,11,13.7,2008,06
20080616,2307,280,110,74.27499999999993,2008,06
20080708,2426,256,144,33.150000000000006,2008,07
20080822,2372,260,171,21.400000000000013,2008,08
20080909,430,55,7,27.449999999999996,2008,09
20081007,1974,161,111,24.324999999999992,2008,10
20081014,345,49,21,14.075,2008,10
20081015,1811,181,100,35.57500000000001,2008,10
20081031,2172,199,99,41.19999999999997,2008,10
20081201,2422,220,150,27.425000000000008,2008,12
20081204,2578,204,171,-0.8999999999999896,2008,12
20081214,1086,93,38,26.450000000000003,2008,12
20090113,3178,262,200,31.700000000000014,2009,01
20090218,2397,193,95,37.60000000000002,2009,02
20090307,539,55,11,24.925000000000004,2009,03
20090310,2791,307,192,26.975000000000023,2009,03
20090320,2251,212,140,26.000000000000004,2009,03
20090403,2624,185,113,35.10000000000002,2009,04
20090414,2466,210,179,10.249999999999995,2009,04
20090417,2265,237,105,59.97499999999995,2009,04
20090507,2255,268,122,52.4250000000001,2009,05
20090511,2411,228,147,-8.049999999999986,2009,05
20090522,1459,172,80,50.975000000000016,2009,05
20090604,442,20,11,4.325000000000001,2009,06
20090617,1837,170,72,46.12499999999998,2009,06
20090626,391,40,8,16.399999999999995,2009,06
20090821,3691,271,265,-17.52500000000001,2009,08
20090925,398,42,8,16.049999999999997,2009,09
20091008,3290,187,159,11.174999999999995,2009,10
20091019,2519,199,208,-5.924999999999998,2009,10
20091023,2787,321,172,44.000000000000064,2009,10
20091116,2429,214,164,23.475000000000005,2009,11
20091207,2494,219,143,35.57500000000004,2009,12
20100103,4677,316,204,22.574999999999967,2010,01
20100203,385,65,21,20.39999999999999,2010,02
20100320,1820,205,138,28.650000000000006,2010,03
20100408,1317,110,89,-1.4999999999999984,2010,04
20100413,416,45,9,14.099999999999998,2010,04
20100421,281,26,4,8.15,2010,04
20100427,818,66,63,6.475000000000003,2010,04
20100506,2271,233,123,26.100000000000033,2010,05
20100508,2304,293,63,132.27500000000015,2010,05
20100525,2959,263,98,75.07499999999995,2010,05
20100530,967,123,66,23.22500000000001,2010,05
20100603,697,59,27,13.800000000000002,2010,06
20100609,545,87,7,30.499999999999996,2010,06
20100616,1684,217,117,24.80000000000001,2010,06
20100712,1215,107,39,32.925000000000004,2010,07
20100802,2283,179,131,20.07500000000001,2010,08
20100827,3174,281,173,75.39999999999996,2010,08
20100924,3993,352,323,-14.624999999999986,2010,09
20100930,408,49,13,17.525000000000002,2010,09
20101004,2372,219,177,11.550000000000017,2010,10
20101015,2879,212,180,18.725000000000016,2010,10
20101019,199,34,0,16.3,2010,10
20101025,893,114,58,16.949999999999992,2010,10
20101119,2810,335,185,63.49999999999995,2010,11
20101119,1042,69,45,10.925000000000002,2010,11
20110203,1830,134,81,24.974999999999987,2011,02
20110210,2769,164,149,5.4750000000000005,2011,02
20110218,1363,151,90,27.75000000000001,2011,02
20110302,1899,137,101,15.450000000000003,2011,03
20110323,1688,170,93,24.250000000000014,2011,03
20110404,2529,190,131,12.499999999999991,2011,04
20110429,1664,113,130,-7.8999999999999915,2011,04
20110505,2224,237,120,32.12500000000001,2011,05
20110512,338,39,6,18.175000000000004,2011,05
20110516,2639,262,58,105.95,2011,05
20110607,2719,182,150,21.325000000000006,2011,06
20110614,1297,110,97,9.550000000000006,2011,06
