Value,Date
-23.54999999999996,bernanke20130408a
99.07500000000002,bernanke20130412a
1.7749999999999813,bernanke20130510a
62.49999999999992,bernanke20130518a
39.87499999999998,bernanke20130602a
89.72500000000011,bernanke20130710a
18.450000000000003,bernanke20131002a
13.55,bernanke20131014a
-21.44999999999999,bernanke20131108a
22.249999999999993,bernanke20131113a
19.524999999999984,bernanke20131114a
40.624999999999986,bernanke20131119a
10.175000000000004,bernanke20131216a
9.924999999999999,bernanke20131216b
47.82499999999994,bernanke20140103a
39.67499999999998,bies20060118a
11.724999999999968,bies20060202a
5.349999999999978,bies20060329a
19.075000000000003,bies20060331a
34.750000000000036,bies20060410a
11.374999999999943,bies20060428a
44.8,bies20060504a
30.949999999999974,bies20060516a
24.12500000000003,bies20060606a
15.474999999999946,bies20060612a
